Titre;Date;Link;
Liga BBVA : Deportivo Alavés - Barcelone (score final : 0-2);15/04/2019;http://www.matchendirect.fr/live-score/lorient-paris-fc.html;
Liga BBVA : Real Valladolid - Girona (score final : 1-0);17/04/2019;http://www.matchendirect.fr/live-score/lorient-paris-fc.html;
Liga BBVA : Huesca - Eibar (score final : 2-0);18/04/2019;http://www.matchendirect.fr/live-score/lorient-paris-fc.html;
Tercera Division : Briviesca - Cristo Atlético (score final : 1-3);18/04/2019;http://www.matchendirect.fr/live-score/lorient-paris-fc.html;
Liga Adelante : Elche - Osasuna (score final : 1-2);19/04/2019;http://www.matchendirect.fr/live-score/lorient-paris-fc.html;
Superliga : Valencia - Levante (score final : 1-3);19/04/2019;http://www.matchendirect.fr/live-score/lorient-paris-fc.html;
Superliga : Espanyol - Atletico Madrid (score final : 0-1);19/04/2019;http://www.matchendirect.fr/live-score/lorient-paris-fc.html;
Liga BBVA : Real Bétis - Valence (score final : 1-2);20/04/2019;http://www.matchendirect.fr/live-score/lorient-paris-fc.html;
Liga Adelante : Tenerife - Almería (score final : 1-3);20/04/2019;http://www.matchendirect.fr/live-score/lorient-paris-fc.html;
